Conventions,G,BADC-CSV,1
title,G,GloboLakes: high-resolution global limnology dataset v1
creator,G,Dr Laura Carrea,"Department of Meteorology, University of Reading"
contributor,G,Poppy Townsend,CEDA
long_name,1,GLWD ID,1
type,1,int
comment,1,GLWD ID is the ID number for the lake/waterbody within the Global Lake Water Database
long_name,2,Name,1
type,2,char
comment,2,Name of the water body
long_name,3,Country,1
type,3,char
comment,3,Name of country where water body is situated
long_name,4,Lat centre,degree
type,4,float
comment,4,Latitude for the centre of the water body
long_name,5,Lon centre,degree
type,5,float
comment,5,Longitude for the centre of the water body
long_name,6,Lat min,degree
type,6,float
comment,6,Minimum latitude for the water body
long_name,7,Lat max,degree
type,7,float
comment,7,Maximum latitude for the water body
long_name,8,Lon min,degree
type,8,float
comment,8,Minimum longitude for the water body
long_name,9,Lon max,degree
type,9,float
comment,9,Maximum longitude for the water body
location_name,G,Rutherford Appleton Lab
location,G,global
date_valid,G,2005-01-01,2010-01-01
last_revised_date,G,2015-07-21
history,G,Version 1
observation_station,G,unknown computer at the University of Reading
feature_type,G,point collection
source,G,data were derived from the ESA CCI Land Cover Map
activity,G,the NERC funded GloboLakes project
data
1,2,3,4,5,6,7,8,9
182, lac de Buyo,Ivory Coast,6.2764,-7.1208,6.2153,7.0069,-7.4375,-6.9042
183, represa de Promissao and represa Nova Avanhadava,Brazil,-21.3347,-49.7042,-22.1347,-20.9819,-50.2264,-48.7458
184, Warburton bay and MacKay lake,Canada,63.9569,-111.2792,63.6792,64.2431,-111.9681,-109.8153
185, lake Tuz,Turkey,38.6236,33.5208,38.4292,39.1431,33.0736,33.7181
186, Kumskoye reservoir,Russia,65.7708,31.7903,65.3625,65.8903,31.4375,32.7403
187, Orivesi and Pyhaselka,Finland,62.1542,29.4014,62.0542,62.6264,29.1653,29.9986
188, represa Tres Marias,Brazil,-18.2458,-45.2625,-19.0597,-18.1931,-45.5403,-44.9069
189, Hottah lake,Canada,65.1208,-118.5375,64.6014,65.3097,-118.8903,-117.9903
190, Novosibirskoye reservoir,Russia,54.7347,82.8347,53.8653,54.8514,81.2042,83.2625
191, Bras d'Or lake,Canada,45.8542,-60.8181,45.6708,46.3125,-61.1681,-60.2958
192, lake Ilmen,Russia,58.2542,31.2514,58.0875,58.5069,30.8542,31.7514
193, Gorky reservoir,Russia,57.2153,43.0931,56.6319,57.6097,41.7208,43.5486
194, Salton sea,United States,33.2458,-115.7236,33.0792,33.5319,-116.0819,-115.5792
195, Pielinen,Finland,63.2097,29.8764,62.7764,63.5486,29.0514,30.3764
196, laguna Salada,Mexico,32.3542,-115.5931,32.3236,32.5486,-115.7264,-115.5569
197, Garabogazkol basin,Turkmenistan,41.3597,53.4681,40.6181,42.1542,52.7208,54.8014
198, lake Nipissing,Canada,46.2569,-79.5958,46.1153,46.3708,-80.4764,-79.3597
199, Capivara dam/rio Paranapanema,Brazil,-22.7208,-51.2153,-23.1153,-22.5597,-51.3653,-50.3292
200, lake Abitibi,Canada,48.6625,-79.8569,48.5792,48.9458,-80.2125,-79.2569
201, Fort Peck lake,United States,47.9625,-106.4375,47.3958,48.0208,-108.3792,-106.1986
202, Oulujarvi,Finland,64.2986,27.2153,64.1208,64.5708,26.7264,28.0125
203, represa de Sao Simao,Brazil,-18.7958,-50.3681,-19.0319,-18.2431,-50.5819,-49.2931
204, Chilika lake,India,19.7736,85.4014,19.4708,19.8847,85.0931,85.6486
205, Laguna lake,Philippines,14.4181,121.1264,14.1819,14.5375,121.0514,121.4792
206, X,Suriname,4.63,-57.43,0.0,0.0,0.0,0.0
207, Omullyakhskaya guba,Russia,72.3236,144.9569,72.1542,72.4347,144.1681,146.9069
208, Zzzz,Congo,-3.5097,12.5042,-3.6653,-3.4264,12.3069,12.5847
209, lago Llanquihue,Chile,-41.1236,-72.7819,-41.3264,-40.9597,-73.0347,-72.5431
210, lake Alexandrina and lake Albert,Australia,-35.4181,139.2264,-35.7319,-35.3097,138.7764,139.3903
211, Nonacho lake,Canada,61.6681,-109.5597,61.4181,62.2319,-109.9347,-107.9097
212, Teshekpuk lake,United States,70.5819,-153.5875,70.4236,70.7375,-154.2847,-152.8569
213, Playgreen lake and Little Playgreen lake,Canada,53.8042,-97.9931,53.7042,54.4403,-98.3236,-97.6931
